"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua & Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Austria-Hungary"
"12","Azerbaijan"
"13","Baden"
"14","Bahamas"
"15","Bahrain"
"16","Bangladesh"
"17","Barbados"
"18","Bavaria"
"19","Belarus"
"20","Belgium"
"21","Belize"
"22","Benin"
"23","Bhutan"
"24","Bolivia"
"25","Bosnia & Herzegovina"
"26","Botswana"
"27","Brazil"
"28","Brunei"
"29","Brunswick"
"30","Bulgaria"
"31","Burkina Faso"
"32","Burundi"
"33","Cambodia"
"34","Cameroon"
"35","Canada"
"36","Cape Verde"
"37","Central African Republic"
"38","Chad"
"39","Chile"
"40","China"
"41","Colombia"
"42","Comoros"
"43","Congo - Brazzaville"
"44","Congo - Kinshasa"
"45","Costa Rica"
"46","Côte d’Ivoire"
"47","Croatia"
"48","Cuba"
"49","Cyprus"
"50","Czechia"
"51","Czechoslovakia"
"52","Denmark"
"53","Djibouti"
"54","Dominica"
"55","Dominican Republic"
"56","Ecuador"
"57","Egypt"
"58","El Salvador"
"59","Equatorial Guinea"
"60","Eritrea"
"61","Estonia"
"62","Eswatini"
"63","Ethiopia"
"64","Fiji"
"65","Finland"
"66","France"
"67","Gabon"
"68","Gambia"
"69","Georgia"
"70","German Democratic Republic"
"71","Germany"
"72","Ghana"
"73","Greece"
"74","Grenada"
"75","Guatemala"
"76","Guinea"
"77","Guinea-Bissau"
"78","Guyana"
"79","Haiti"
"80","Hamburg"
"81","Hanover"
"82","Hesse-Darmstadt"
"83","Hesse-Kassel"
"84","Hesse Electoral"
"85","Hesse Grand Ducal"
"86","Honduras"
"87","Hong Kong SAR China"
"88","Hungary"
"89","Iceland"
"90","India"
"91","Indonesia"
"92","Iran"
"93","Iraq"
"94","Ireland"
"95","Israel"
"96","Italy"
"97","Jamaica"
"98","Japan"
"99","Jordan"
"100","Kazakhstan"
"101","Kenya"
"102","Kiribati"
"103","Kosovo"
"104","Kuwait"
"105","Kyrgyzstan"
"106","Laos"
"107","Latvia"
"108","Lebanon"
"109","Lesotho"
"110","Liberia"
"111","Libya"
"112","Liechtenstein"
"113","Lithuania"
"114","Luxembourg"
"115","Madagascar"
"116","Malawi"
"117","Malaysia"
"118","Maldives"
"119","Mali"
"120","Malta"
"121","Marshall Islands"
"122","Mauritania"
"123","Mauritius"
"124","Mecklenburg Schwerin"
"125","Mexico"
"126","Micronesia (Federated States of)"
"127","Modena"
"128","Moldova"
"129","Monaco"
"130","Mongolia"
"131","Montenegro"
"132","Morocco"
"133","Mozambique"
"134","Myanmar (Burma)"
"135","Namibia"
"136","Nassau"
"137","Nauru"
"138","Nepal"
"139","Netherlands"
"140","New Zealand"
"141","Nicaragua"
"142","Niger"
"143","Nigeria"
"144","North Korea"
"145","North Macedonia"
"146","Norway"
"147","Oldenburg"
"148","Oman"
"149","Orange Free State"
"150","Pakistan"
"151","Palau"
"152","Palestinian Territories"
"153","Panama"
"154","Papua New Guinea"
"155","Paraguay"
"156","Parma"
"157","Peru"
"158","Philippines"
"159","Piedmont-Sardinia"
"160","Poland"
"161","Portugal"
"162","Prussia"
"163","Qatar"
"164","Republic of Vietnam"
"165","Romania"
"166","Russia"
"167","Rwanda"
"168","Samoa"
"169","San Marino"
"170","São Tomé & Príncipe"
"171","Sardinia"
"172","Saudi Arabia"
"173","Saxe-Weimar-Eisenach"
"174","Saxony"
"175","Senegal"
"176","Serbia"
"177","Serbia and Montenegro"
"178","Seychelles"
"179","Sierra Leone"
"180","Singapore"
"181","Slovakia"
"182","Slovenia"
"183","Solomon Islands"
"184","Somalia"
"185","Somaliland"
"186","South Africa"
"187","South Korea"
"188","South Sudan"
"189","Spain"
"190","Sri Lanka"
"191","St. Kitts & Nevis"
"192","St. Lucia"
"193","St. Vincent & Grenadines"
"194","Sudan"
"195","Suriname"
"196","Sweden"
"197","Switzerland"
"198","Syria"
"199","Taiwan"
"200","Tajikistan"
"201","Tanzania"
"202","Thailand"
"203","Timor-Leste"
"204","Togo"
"205","Tonga"
"206","Trinidad & Tobago"
"207","Tunisia"
"208","Turkey"
"209","Turkmenistan"
"210","Tuscany"
"211","Tuvalu"
"212","Two Sicilies"
"213","Uganda"
"214","Ukraine"
"215","United Arab Emirates"
"216","United Kingdom"
"217","United Province CA"
"218","United States"
"219","Uruguay"
"220","Uzbekistan"
"221","Vanuatu"
"222","Vatican City"
"223","Venezuela"
"224","Vietnam"
"225","Wuerttemburg"
"226","Würtemberg"
"227","Yemen"
"228","Yemen Arab Republic"
"229","Yemen People's Republic"
"230","Yugoslavia"
"231","Zambia"
"232","Zanzibar"
"233","Zimbabwe"
